,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,SOS
0,Blake Griffin,2007-08,Oklahoma,Big 12,33,28,28.4,5.6,9.8,0.568,5.6,9.8,0.5710000000000001,0.0,0.1,0.0,3.5,6.0,0.589,3.3,5.8,9.1,1.8,1.0,0.8,2.3,2.5,14.7,,7.85
1,Blake Griffin,2008-09,Oklahoma,Big 12,35,35,33.3,8.6,13.1,0.654,8.5,12.9,0.659,0.1,0.2,0.375,5.5,9.3,0.59,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5,22.7,,6.88
0,Terrence Williams,2005-06,Louisville,Big East,33,21,25.1,3.2,8.1,0.391,1.9,4.2,0.467,1.2,3.9,0.31,0.9,1.5,0.612,1.0,3.7,4.7,2.1,1.0,0.3,1.7,1.8,8.4,,6.5
1,Terrence Williams,2006-07,Louisville,Big East,34,34,33.0,4.6,12.7,0.3670000000000001,3.2,7.1,0.449,1.4,5.5,0.261,1.7,2.8,0.604,2.1,4.9,7.0,3.8,1.3,0.7,2.4,2.1,12.4,,7.69
2,Terrence Williams,2007-08,Louisville,Big East,36,36,35.9,4.1,9.9,0.411,2.7,5.9,0.46,1.4,4.0,0.34,1.7,2.9,0.5710000000000001,1.4,5.8,7.2,4.5,1.3,0.8,2.9,1.9,11.1,,8.0
3,Terrence Williams,2008-09,Louisville,Big East,37,36,34.2,4.6,10.6,0.431,3.0,6.6,0.459,1.5,4.0,0.385,1.8,3.2,0.581,1.4,7.2,8.6,5.0,2.3,0.8,2.3,1.7,12.5,,8.41
0,Gerald Henderson,2006-07,Duke,ACC,32,10,19.3,2.7,6.0,0.451,2.5,5.3,0.47,0.3,0.8,0.32,1.2,1.8,0.627,0.9,2.0,2.9,1.1,0.5,0.3,1.3,1.4,6.8,,10.49
1,Gerald Henderson,2007-08,Duke,ACC,34,33,26.2,4.6,9.7,0.474,4.0,7.8,0.511,0.6,1.9,0.317,3.0,4.4,0.669,1.4,3.3,4.7,1.6,1.1,0.9,2.0,2.1,12.7,,9.28
2,Gerald Henderson,2008-09,Duke,ACC,37,36,29.7,5.8,12.8,0.45,4.6,9.5,0.49,1.1,3.3,0.336,3.9,5.1,0.7609999999999999,1.2,3.7,4.9,2.5,1.2,0.8,2.2,1.7,16.5,,9.07
0,Tyler Hansbrough,2005-06,UNC,ACC,31,30,30.4,6.4,11.3,0.57,6.4,11.1,0.5710000000000001,0.1,0.1,0.5,6.0,8.2,0.7390000000000001,3.6,4.3,7.8,1.3,1.2,0.7,2.5,2.8,18.9,,7.77
1,Tyler Hansbrough,2006-07,UNC,ACC,38,38,29.9,6.0,11.4,0.525,6.0,11.3,0.528,0.0,0.1,0.25,6.4,8.3,0.768,3.1,4.8,7.9,1.2,1.1,0.4,1.9,2.4,18.4,,9.3
2,Tyler Hansbrough,2007-08,UNC,ACC,39,39,33.0,7.4,13.7,0.54,7.4,13.5,0.547,0.0,0.2,0.0,7.8,9.7,0.8059999999999999,3.9,6.4,10.2,0.9,1.5,0.4,2.1,2.4,22.6,,8.12
3,Tyler Hansbrough,2008-09,UNC,ACC,34,34,30.3,6.6,12.8,0.514,6.3,12.1,0.521,0.3,0.7,0.391,7.3,8.7,0.841,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3,20.7,,8.35
0,Earl Clark,2006-07,Louisville,Big East,32,5,16.0,2.2,4.6,0.48,1.9,3.8,0.504,0.3,0.8,0.37,1.2,1.9,0.597,1.4,2.4,3.8,0.4,0.7,0.4,0.8,1.2,5.9,,7.69
1,Earl Clark,2007-08,Louisville,Big East,35,22,28.5,4.2,8.8,0.47600000000000003,3.7,6.9,0.544,0.4,1.9,0.22699999999999998,2.4,3.6,0.654,2.2,5.9,8.1,1.4,1.0,1.7,2.3,1.8,11.1,,8.0
2,Earl Clark,2008-09,Louisville,Big East,37,36,34.3,5.5,11.9,0.457,4.6,9.4,0.493,0.8,2.6,0.326,2.4,3.8,0.647,2.8,5.9,8.7,3.2,1.0,1.4,3.2,1.9,14.2,,8.41
